Name,B,W,H,Tall,Weight,Birthday,Reliablity
成沢みなみ,,,,,,,
成田梨紗,,,,,,,
星名美津紀,,,,,,,
星野真里,73,61,84,156,,,unknown
清水あいり,,,,,,,
清水みさと,,,,,,,
清水綾乃,,,,,,,
生稲晃子,,,,,,,
生田絵梨花,,,,160,,1997/01/22,
西永彩奈,,,,,,,
西崎莉麻,,,,,,,
西山茉希,82,58,85,168,48,,unknown
西川史子,76,58,85,160,,,unknown
西田ひかる,,,,,,,
西田尚美,82,60,83,165,,1970/02/16,unknown
西田麻衣,,,,,,,
西田藍,,,,,,,
西内まりや,80,58,83,170,,1993/12/24,
西野七瀬,,,,,,,
西野妙子,,,,,,,
青山ひかる,,,,,,,
青田典子,88,58,85,164,,,unknown
青島あきな,,,,,,,
青木さやか,85,60,83,170,,,unknown
青木りん,,,,,,,
青木愛,85,60,83,173,59,,unknown
青木裕子,,,,,,,
石井めぐる,,,,,,,
石井香織,,,,,,,
石岡真衣,,,,,,,
石原あつ美,,,,,,,
石原さとみ,82,57,82,157,,1986/12/24,unknown
石川恋,,,,,,,
石田えり,90,64,90,,,,unknown
石田ひかり,82,57,85,158,45,,unknown
石田ゆり子,83,59,85,168,48,,unknown
石田桃香,,,,,,,
脊山麻理子,,,,,,,
折原みか,,,,,,,
仙石みなみ,,,,,,,
川栄李奈,,,,,,,
川原亜矢子,82,60,88,176,,,unknown
川口春奈,75,60,84,166,,1995/02/10,unknown
川崎あや,,,,,,,
川上麻衣子,86,60,88,162,47,,unknown
川村ひかる,,,,,,,
川村ゆきえ,87,59,87,158,48,,unknown
川村那月,,,,,,,
川津明日香,,,,,,,
川島なお美,83,58,85,158,43,,unknown
川島海荷,,,,,,,
川奈栞,,,,,,,
泉里香,,,,166,,,
浅川梨奈,,,,,,,
浅尾美和,,,,,,,
浅野ゆう子,81,60,87,167,50,,unknown
染谷有香,,,,,,,
前田愛,78,58,82,157,50,,unknown
前田典子,84,60,88,173,,,unknown
前田敦子,76,55,80,161,,,unknown
倉科カナ,89,59,87,158,,1987/12/23,
倉持明日香,,,,,,,
倉持由香,,,,,,,
倉田真由美,86,60,87,162,,,unknown
早乙女ゆう,,,,,,,
早瀬あや,,,,,,,
相楽樹,,,,,,,
相原美咲,,,,,,,
相沢まき,,,,,,,
相武紗季,84,57,87,165,,1985/06/20,unknown
相澤仁美,,,,,,,
蒼あんな,79,60,82,158,,,unknown
蒼れいな,79,59,82,157,,,unknown
蒼井優,78,58,80,160,40,1985/08/17,unknown
霜月めあ,,,,,,,
増田有華,84,63,88,162,,,unknown
足立梨花,,,,,,,
